Season,Rank,Team,Record,Margin 3 Less,Margin 10 or More
2012,7,Memphis Grizzlies,41-25,6-2,16-10
2012,8,Atlanta Hawks,40-26,6-8,17-13
2012,9,Los Angeles Clippers,40-26,7-6,17-7
2012,10,Boston Celtics,39-27,6-5,19-11
2012,11,Denver Nuggets,38-28,6-6,18-11
2012,12,Orlando Magic,37-29,2-5,18-16
2012,13,Dallas Mavericks,36-30,7-8,16-15
2012,14,New York Knicks,36-30,7-3,19-15
2012,15,Utah Jazz,36-30,7-6,15-14
2012,16,Philadelphia 76ers,35-31,1-4,28-12
2012,17,Houston Rockets,34-32,8-5,13-13
2012,18,Phoenix Suns,33-33,8-5,14-19
2012,19,Milwaukee Bucks,31-35,4-6,13-12
2012,20,Portland Trail Blazers,28-38,3-11,17-17
2012,21,Minnesota Timberwolves,26-40,7-7,13-16
2012,22,Detroit Pistons,25-41,7-4,12-27
2012,23,Golden State Warriors,23-43,5-12,7-16
2012,24,Toronto Raptors,23-43,1-7,12-21
2012,25,New Jersey Nets,22-44,6-2,8-26
2012,26,Sacramento Kings,22-44,6-7,6-24
2012,27,Cleveland Cavaliers,21-45,5-6,9-26
2012,28,New Orleans Hornets,21-45,4-9,6-19
2012,29,Washington Wizards,20-46,6-5,11-26
2012,30,Charlotte Bobcats,7-59,2-4,2-38
2013,1,Miami Heat,66-16,9-3,39-8
2013,2,Oklahoma City Thunder,60-22,3-6,44-6
2013,3,San Antonio Spurs,58-24,9-5,31-10
2013,4,Denver Nuggets,57-25,11-7,28-8
2013,5,Los Angeles Clippers,56-26,3-5,38-12
2013,6,Memphis Grizzlies,56-26,6-4,28-9
2013,7,New York Knicks,54-28,7-5,31-12
2013,8,Brooklyn Nets,49-33,9-4,23-17
2013,9,Indiana Pacers,49-32,4-9,27-14
2013,10,Golden State Warriors,47-35,5-3,20-18
2013,11,Chicago Bulls,45-37,11-7,16-16
2013,12,Houston Rockets,45-37,5-5,26-13
2013,13,Los Angeles Lakers,45-37,8-5,18-17
2013,14,Atlanta Hawks,44-38,5-5,19-20
2013,15,Utah Jazz,43-39,5-7,19-21
2013,16,Boston Celtics,41-40,8-7,18-23
2013,17,Dallas Mavericks,41-41,5-8,17-19
2013,18,Milwaukee Bucks,38-44,7-5,13-25
2013,19,Philadelphia 76ers,34-48,4-5,13-24
2013,20,Toronto Raptors,34-48,8-8,16-22
2013,21,Portland Trail Blazers,33-49,9-6,13-24
2013,22,Minnesota Timberwolves,31-51,3-10,15-26
2013,23,Detroit Pistons,29-53,6-10,15-29
2013,24,Washington Wizards,29-53,6-9,13-17
2013,25,Sacramento Kings,28-54,7-3,12-31
2013,26,New Orleans Hornets,27-55,7-5,10-27
2013,27,Phoenix Suns,25-57,6-8,10-31
2013,28,Cleveland Cavaliers,24-58,6-11,7-27
2013,29,Charlotte Bobcats,21-61,6-6,6-37
2013,30,Orlando Magic,20-62,2-9,8-30
2014,1,San Antonio Spurs,62-20,7-0,35-12
2014,2,Oklahoma City Thunder,59-23,10-4,33-8
2014,3,Los Angeles Clippers,57-25,4-3,30-9
2014,4,Indiana Pacers,56-26,4-3,29-17
2014,5,Houston Rockets,54-28,7-6,30-9
2014,6,Miami Heat,54-28,8-7,29-10
2014,7,Portland Trail Blazers,54-28,8-9,24-13
2014,8,Golden State Warriors,51-31,11-8,28-9
2014,9,Memphis Grizzlies,50-32,10-4,18-13
2014,10,Dallas Mavericks,49-33,11-11,23-10
2014,11,Chicago Bulls,48-34,6-5,27-19
2014,12,Toronto Raptors,48-34,3-8,24-6
2014,13,Phoenix Suns,48-34,2-9,19-7
2014,14,Brooklyn Nets,44-38,8-3,17-20
2014,15,Washington Wizards,44-38,5-9,19-14
2014,16,Charlotte Bobcats,43-39,8-8,18-19
2014,17,Minnesota Timberwolves,40-42,5-6,26-18
2014,18,Atlanta Hawks,38-44,8-9,15-16
2014,19,New York Knicks,37-45,3-8,19-22
2014,20,Denver Nuggets,36-46,8-5,16-24
2014,21,New Orleans Pelicans,34-48,7-8,10-21
2014,22,Cleveland Cavaliers,33-49,7-5,13-27
2014,23,Detroit Pistons,29-53,2-6,16-25
2014,24,Sacramento Kings,28-54,4-9,12-26
2014,25,Los Angeles Lakers,27-55,5-5,12-33
2014,26,Boston Celtics,25-57,5-9,9-23
2014,27,Utah Jazz,25-57,5-4,9-39
2014,28,Orlando Magic,23-59,5-7,10-30
2014,29,Philadelphia 76ers,19-63,6-3,4-46
2014,30,Milwaukee Bucks,15-67,4-5,4-33
2015,1,Golden State Warriors,67-15,5-3,45-9
2015,2,Atlanta Hawks,60-22,6-4,30-10
2015,3,Houston Rockets,56-26,8-4,31-14
2015,4,Los Angeles Clippers,56-26,3-5,33-9
2015,5,Memphis Grizzlies,55-27,9-3,26-13
2015,6,San Antonio Spurs,55-27,6-7,34-7
2015,7,Cleveland Cavaliers,53-29,6-4,30-14
2015,8,Portland Trail Blazers,51-31,5-1,30-11
2015,9,Chicago Bulls,50-32,7-2,20-16
2015,10,Dallas Mavericks,50-32,5-4,22-18
2015,11,Toronto Raptors,49-33,6-5,29-11
2015,12,Washington Wizards,46-36,9-4,21-14
2015,13,New Orleans Pelicans,45-37,10-4,19-14
2015,14,Oklahoma City Thunder,45-37,4-8,26-14
2015,15,Milwaukee Bucks,41-41,5-9,17-16
2015,16,Boston Celtics,40-42,8-6,17-14
2015,17,Phoenix Suns,39-43,4-12,14-19
2015,18,Brooklyn Nets,38-44,10-2,15-23
2015,19,Indiana Pacers,38-44,4-12,19-20
2015,20,Utah Jazz,38-44,5-10,18-19
2015,21,Miami Heat,37-45,4-10,15-28
2015,22,Charlotte Hornets,33-49,6-8,13-22
2015,23,Detroit Pistons,32-50,7-6,19-25
2015,24,Denver Nuggets,30-52,4-4,17-28
2015,25,Sacramento Kings,29-53,6-4,12-28
2015,26,Orlando Magic,25-57,6-8,4-27
2015,27,Los Angeles Lakers,21-61,6-6,5-30
2015,28,Philadelphia 76ers,18-64,3-7,5-41
2015,29,New York Knicks,17-65,2-7,3-39
2015,30,Minnesota Timberwolves,16-66,6-6,4-40
2016,1,Golden State Warriors,73-9,7-2,44-5
2016,2,San Antonio Spurs,67-15,4-4,44-6
2016,3,Cleveland Cavaliers,57-25,4-7,32-8
2016,4,Toronto Raptors,56-26,6-6,28-10
2016,5,Oklahoma City Thunder,55-27,8-6,33-5
2016,6,Los Angeles Clippers,53-29,8-4,28-15
2016,7,Atlanta Hawks,48-34,5-7,29-17
2016,8,Boston Celtics,48-34,5-7,26-13
